id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Time in Epochs (ignore),Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
1,2025-07-01 17:40:39.929,2025-07-01 17:40:39.604401,9.528923034667969,-2.2840683460235596,0.06224924325942993,0.9468411207199097,0.4642575979232788,0.9810495972633362,2025-07-01 17:40:39.616,1751371839616,-7832,1593,319,-226,311,1564
2,2025-07-01 17:40:40.237,2025-07-01 17:40:39.904438,10.788272857666016,-1.7764976024627686,1.3670891523361206,0.05375614017248154,-0.14905111491680145,-0.4251621961593628,2025-07-01 17:40:39.898,1751371839898,-7679,1877,-380,-83,213,1579
3,2025-07-01 17:40:40.839,2025-07-01 17:40:40.303813,10.766724586486816,-2.0925323963165283,1.1468225717544556,-2.068389654159546,-0.25045475363731384,0.16249015927314758,2025-07-01 17:40:40.273,1751371840273,-7810,4014,-786,-2,-119,195
4,2025-07-01 17:40:41.146,2025-07-01 17:40:40.503906,9.670180320739746,-4.4532151222229,0.35673606395721436,-1.3096951246261597,0.3481931984424591,0.7061602473258972,2025-07-01 17:40:40.516,1751371840516,-7573,3302,-251,533,813,-1354
5,2025-07-01 17:40:41.225,2025-07-01 17:40:40.704732,6.926425457000732,-5.446808815002441,0.6488286852836609,0.17348572611808777,-0.1368338167667389,0.25045475363731384,2025-07-01 17:40:40.704,1751371840704,-7382,2284,-997,-950,1660,-46
6,2025-07-01 17:40:41.328,2025-07-01 17:40:40.803963,7.15387487411499,-5.037400245666504,0.07661445438861847,0.23579397797584534,-0.16737708449363708,0.4447098970413208,2025-07-01 17:40:40.806,1751371840806,-7082,2452,-984,-1332,1843,269
7,2025-07-01 17:40:41.440,2025-07-01 17:40:40.803963,7.15387487411499,-5.037400245666504,0.07661445438861847,0.23579397797584534,-0.16737708449363708,0.4447098970413208,2025-07-01 17:40:40.806,1751371840806,-7082,2452,-984,-1332,1843,269
8,2025-07-01 17:40:41.534,2025-07-01 17:40:41.003962,7.989450931549072,-5.868188381195068,-0.49799394607543945,0.44715335965156555,-0.5106833577156067,0.5693264007568359,2025-07-01 17:40:40.978,1751371840978,-7112,3854,-1169,-1198,1448,884
9,2025-07-01 17:40:41.825,2025-07-01 17:40:41.304109,6.746860504150391,-7.232883453369141,-0.20111294090747833,1.470963478088379,-1.0897835493087769,1.254717230796814,2025-07-01 17:40:41.327,1751371841327,-7145,4279,-1865,-1624,1323,294
10,2025-07-01 17:40:41.927,2025-07-01 17:40:41.504466,5.214571475982666,-8.109161376953125,0.4165911078453064,0.5632177591323853,-0.19792033731937408,0.5595525503158569,2025-07-01 17:40:41.522,1751371841522,-7270,3215,-1241,-1452,-185,-1382
11,2025-07-01 17:40:42.027,2025-07-01 17:40:41.703865,13.259089469909668,0.4213795065879822,0.586579442024231,-0.00733038317412138,-0.3591887652873993,-1.0812314748764038,2025-07-01 17:40:41.685,1751371841685,-7529,3006,-927,-816,-382,-549
