id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Time in Epochs (ignore),Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
16,2025-07-01 17:52:26.405,2025-07-01 17:52:26.130225,-2.7940332889556885,-8.341399192810059,3.2537200450897217,-0.059864792972803116,-0.5729916095733643,0.96883225440979,2025-07-01 17:52:26.114,1751372546114,-8174,-1853,-272,548,81,-890
17,2025-07-01 17:52:26.486,2025-07-01 17:52:26.231487,-3.450044631958008,-8.401253700256348,4.144362926483154,0.0757472887635231,-0.4129449129104614,0.9419541954994202,2025-07-01 17:52:26.216,1751372546216,-8129,-1679,46,636,66,-891
18,2025-07-01 17:52:26.794,2025-07-01 17:52:26.527181,-4.58968448638916,-6.31829833984375,4.750096321105957,0.04642575979232788,-0.5583308339118958,0.4960225820541382,2025-07-01 17:52:26.566,1751372546566,-7267,-4458,854,1193,-94,-644
19,2025-07-01 17:52:26.997,2025-07-01 17:52:26.746019,-4.376600742340088,-6.335057735443115,5.51624059677124,0.4141666293144226,-0.44104471802711487,0.10384709388017654,2025-07-01 17:52:26.749,1751372546749,-7302,-3715,434,1214,239,-91
20,2025-07-01 17:52:27.090,2025-07-01 17:52:26.847396,-4.24970817565918,-6.13633918762207,5.351040840148926,0.46792277693748474,-0.38117989897727966,0.12217304855585098,2025-07-01 17:52:26.833,1751372546833,-7315,-3888,608,642,108,-382
21,2025-07-01 17:52:27.195,2025-07-01 17:52:26.931666,-4.158728122711182,-6.203376770019531,6.042964935302734,0.40194934606552124,-0.26511552929878235,0.22968533635139465,2025-07-01 17:52:26.930,1751372546930,-7524,-3890,496,567,-195,-246
22,2025-07-01 17:52:27.603,2025-07-01 17:52:27.320672,-3.8307228088378906,-4.323928356170654,7.671022415161133,0.5192354321479797,-0.0757472887635231,-0.03176499158143997,2025-07-01 17:52:27.285,1751372547285,-7093,-4369,961,99,-265,-868
23,2025-07-01 17:52:27.807,2025-07-01 17:52:27.538484,-4.003105163574219,-4.853046894073486,7.7883381843566895,0.5668829679489136,-0.10751228034496307,0.019547687843441963,2025-07-01 17:52:27.566,1751372547566,-7083,-4411,923,-139,-126,145
24,2025-07-01 17:52:27.906,2025-07-01 17:52:27.635235,-3.928884983062744,-4.381389141082764,7.934384346008301,0.4386012554168701,-0.08307767659425735,-0.039095375686883926,2025-07-01 17:52:27.659,1751372547659,-7153,-4051,1150,-290,311,162
25,2025-07-01 17:52:27.996,2025-07-01 17:52:27.733519,-4.02465295791626,-4.23773717880249,8.037335395812988,0.25045475363731384,-0.024434609338641167,-0.06963863968849182,2025-07-01 17:52:27.749,1751372547749,-7448,-4222,1101,-284,318,213
26,2025-07-01 17:52:28.090,2025-07-01 17:52:27.836414,-4.084507942199707,-3.7924153804779053,8.341399192810059,0.3139847218990326,0.05009094998240471,-0.024434609338641167,2025-07-01 17:52:27.848,1751372547848,-7466,-4193,1072,-356,-23,300
27,2025-07-01 17:52:28.190,2025-07-01 17:52:27.951206,-4.003105163574219,-3.4739866256713867,8.243236541748047,0.34574973583221436,-0.0012217304902151227,0.00366519158706069,2025-07-01 17:52:27.912,1751372547912,-7506,-4146,1041,72,-15,101
28,2025-07-01 17:52:28.286,2025-07-01 17:52:28.034024,-3.8738183975219727,-3.138798475265503,8.039729118347168,0.24556782841682434,0.015882495790719986,-0.00733038317412138,2025-07-01 17:52:28.009,1751372548009,-7297,-4108,715,-118,-123,-202
29,2025-07-01 17:52:28.395,2025-07-01 17:52:28.134227,-3.88818359375,-3.1028854846954346,8.38449478149414,0.17592918872833252,-0.019547687843441963,-0.028099801391363144,2025-07-01 17:52:28.113,1751372548113,-7542,-3837,704,-96,100,-533
30,2025-07-01 17:52:28.595,2025-07-01 17:52:28.339555,-4.039018154144287,-2.9712042808532715,8.307879447937012,0.14905111491680145,0.0,-0.00855211354792118,2025-07-01 17:52:28.362,1751372548362,-7159,-4362,1061,101,111,-527
31,2025-07-01 17:52:28.693,2025-07-01 17:52:28.434102,-3.9887399673461914,-2.4660277366638184,8.614337921142578,0.10018189996480942,-0.05375614017248154,-0.03176499158143997,2025-07-01 17:52:28.459,1751372548459,-7167,-4072,1040,110,54,-215
32,2025-07-01 17:52:28.788,2025-07-01 17:52:28.544168,-3.8786067962646484,-2.4468741416931152,8.508993148803711,0.12095131725072861,-0.012217304669320583,-0.028099801391363144,2025-07-01 17:52:28.541,1751372548541,-7045,-4396,1060,39,-47,70
